nombre,enlace,firma,capacidad,numero apartamentos,direccion,municipio,provincia,codigo postal,telefono,email,web,situacion,categoria,aparthotel,firma eeat,nombre eeat
2SLEEP APARTMENTS,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/estudios-benidorm-ii,BL000644A,86,43,"Avenida MARTINEZ ALEJOS, 2",Benidorm,Alicante,03501,965854752,,,"Edificio, bloque",E,N/D,CVEE00242 A,ESTUDIOS BENIDORM
ALBIR PALACE,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/l-alfas-del-pi/apartamentos/albir-palace,BL000641A,106,24,"Calle TAURO, 18",L'Alfàs del Pi,ALACANT,03580,966860498,,,"Edificio, bloque",Segundo,N/D,CVEE00586 A,ALBIR PALACE
ALFAZ PARADISE,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/l-alfas-del-pi/apartamentos/alfaz-paradise,BL000654A,192,38,"Calle BADIA, 50",L'Alfàs del Pi,Alicante,03581,914170057,mirodriguez@optimaplanificacion.es,,"Edificio, bloque",E,N/D,CVEE00629 A,
ALICANTE HILLS,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/alacantalicante/apartamentos/alicante-hills,BL000649A,845,183,"Glorieta REINO UNIDO, 6",Alacant/Alicante,Alicante,03008,965113245,info@exealicantehills.com,www.exealicantehills.com,"Edificio, bloque",Primero,N/D,CVEE00629 A,
ALPHA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/alpha,BL000601A,150,50,"Calle KENNEDY, 8",Benidorm,Alicante,03500,966804966,info@apartmentsbenidorm.com,,"Edificio, bloque",E,N/D,CVEE00276 A,ALPHA
AMALIA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/buenos-aires,BL000607A,240,40,"Calle HAMBURGO, 15",Benidorm,Alicante,03500,966889290,,,"Edificio, bloque",E,N/D,CVEE00578 A,APARTAMENTOS MARYCIEL
"AMOR AL MAR, SLU",http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/torrevieja/apartamentos/amor-al-mar-slu,BL000672A,44,11,"Calle CABALLERO DE RODAS, 148",Torrevieja,Alicante,03181,,,,"Edificio, bloque",E,,,
APARTAMENTOS AMALIA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartamentos-amalia,BL000674A,120,30,"Calle ESPERANTO, 15",Benidorm,Alicante,03503,966889290,,,"Edificio, bloque",Primero,,,
APARTAMENTOS PICASSO,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartamentos-picasso,BL000621A,144,36,"Calle AMSTERDAM, ESQ. BRUSELAS, 4",Benidorm,Alicante,03500,965857311,,,"Edificio, bloque",E,N/D,CVEE00409 A,"RINCON PICASSO, S.L."
APARTAMENTOS PLAYAMAR,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartamentos-playamar,BL000661A,92,46,"Calle ZAMORA, 11",Benidorm,Alicante,03503,965853563,playamar@clickbenidorm.com,http://www.clickbenidorm.com,"Edificio, bloque",E,N/D,,
